col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
    179, NGC2530, NGC2530, 121.98170,  17.81850,  0.01680,   45.430, 2.74E+05, 1.86E+05,  0.01668,       1,       1
    180, UGC04240, UGC04240, 122.02550,  14.83770,  0.02850,   48.400, 1.49E+06, 1.63E+06,  0.02886,       1,       1
    181, UGC04245, UGC04245, 122.19100,  18.19420,  0.01740,   57.490, 6.25E+05, 4.27E+05,  0.01733,       1,       1
    182, UGC04258, UGC04258, 122.69910,  46.91230,  0.01040,   46.660, 7.19E+04, 4.09E+04,  0.01064,       1,       1
    183, NGC2540, NGC2540, 123.19350,  26.36180,  0.02090,   46.160, 5.59E+05, 5.31E+05,  0.02088,       1,       1
    184, NGC2543, NGC2543, 123.24140,  36.25460,  0.00820,   73.780, 1.41E+05, 1.08E+05,  0.00814,       1,       0
    185, UGC04280, UGC04280, 123.63890,  54.79960,  0.01170,   48.350, 1.12E+05, 6.48E+04,  0.01184,       1,       0
    186, IC2247, IC2247, 123.99620,  23.19960,  0.01440,   61.060, 4.30E+05, 2.82E+05,  0.01427,       1,       1
    187, UGC04308, UGC04308, 124.35750,  21.68550,  0.01190,   55.510, 1.80E+05, 1.04E+05,  0.01179,       1,       0
    188, NGC2553, NGC2553, 124.39580,  20.90310,  0.01560,   54.080, 3.75E+05, 2.53E+05,  0.01549,       1,       0
    189, NGC2554, NGC2554, 124.47290,  23.47220,  0.01380,   56.140, 2.90E+05, 1.86E+05,  0.01365,       1,       1
    190, UGC04262, UGC04262, 124.76160,  83.26650,  0.01900,   56.390, 7.72E+05, 5.54E+05,  0.01893,       1,       1
    191, NGC2558, NGC2558, 124.80320,  20.51070,  0.01660,   52.470, 4.15E+05, 2.82E+05,  0.01672,       1,       0
    192, NGC2565, NGC2565, 124.95130,  22.03140,  0.01200,   62.990, 2.73E+05, 1.58E+05,  0.01182,       1,       0
    193, UGC04323, UGC04323, 125.08290,  66.98210,  0.01330,   49.220, 1.75E+05, 1.10E+05,  0.01322,       0,       0
    194, NGC2572, NGC2572, 125.35260,  19.14780,  0.02660,   46.270, 1.15E+06, 1.21E+06,  0.02648,       1,       0
    195, NGC2577, NGC2577, 125.68100,  22.55310,  0.00700,   54.450, 3.44E+04, 3.44E+04,  0.00657,       1,       0
    196, UGC04375, UGC04375, 125.79680,  22.66460,  0.00690,   64.660, 5.49E+04, 5.70E+04,  0.00673,       1,       1
    197, IC2341, IC2341, 125.92270,  21.43490,  0.01720,   47.000, 3.25E+05, 2.22E+05,  0.01701,       1,       1
    198, UGC04386, UGC04386, 126.00680,  21.02720,  0.01550,   68.210, 7.51E+05, 5.05E+05,  0.00000,       0,       0
    199, IC2361, IC2361, 126.43540,  27.87460,  0.00700,   51.700, 2.69E+04, 2.74E+04,  0.00705,       1,       0
    200, UGC04405, UGC04405, 126.63700,  23.19280,  0.01880,   53.510, 6.41E+05, 4.56E+05,  0.00000,       0,       0
    201, NGC2592, NGC2592, 126.78350,  25.97030,  0.00660,   50.110, 1.91E+04, 2.09E+04,  0.00654,       1,       1
    202, UGC04416, UGC04416, 126.82000,  22.87760,  0.01850,   58.190, 7.81E+05, 5.47E+05,  0.00000,       0,       0
    203, NGC2596, NGC2596, 126.86050,  17.28410,  0.01980,   54.510, 7.93E+05, 5.91E+05,  0.01964,       1,       1
    204, NGC2595, NGC2595, 126.92510,  21.47910,  0.01440,   53.910, 2.95E+05, 1.94E+05,  0.01430,       1,       1
    205, UGC04425, UGC04425, 127.05990,  28.05730,  0.01980,   48.510, 5.46E+05, 4.05E+05,  0.01967,       1,       1
    206, NGC2598, NGC2598, 127.51050,  21.48860,  0.01530,   48.710, 2.56E+05, 1.71E+05,  0.00000,       0,       0
    207, UGC04464, UGC04464, 128.25079,  26.01400,  0.01760,   63.870, 9.08E+05, 6.21E+05,  0.00000,       0,       0
    208, UGC04461, UGC04461, 128.34450,  52.53230,  0.01660,   53.410, 4.38E+05, 2.98E+05,  0.01670,       1,       0
    209, NGC2604, NGC2604, 128.34641,  29.53880,  0.00690,   49.190, 2.16E+04, 2.21E+04,  0.00702,       1,       0
    210, UGC04468, UGC04468, 128.37820,  41.52550,  0.02480,   57.310, 1.45E+06, 1.66E+06,  0.02468,       1,       1
    211, UGC04505, UGC04505, 129.04860,  50.41900,  0.01090,   48.420, 9.01E+04, 5.15E+04,  0.00000,       0,       0
    212, NGC2620, NGC2620, 129.36760,  24.94670,  0.02610,   66.460, 1.13E+06, 1.17E+06,  0.00000,       0,       0
    213, NGC2623, NGC2623, 129.60001,  25.75450,  0.01850,   55.980, 6.94E+05, 4.86E+05,  0.01832,       1,       1
    214, UGC04515, UGC04515, 130.03951,  52.45600,  0.01660,   55.280, 4.84E+05, 3.29E+05,  0.00000,       0,       0
    215, UGC04532, UGC04532, 130.42191,  18.85990,  0.01550,   46.360, 2.29E+05, 1.54E+05,  0.01590,       0,       0
    216, NGC2638, NGC2638, 130.60741,  37.22100,  0.01290,   61.920, 3.19E+05, 1.95E+05,  0.01282,       1,       1
    217, UGC04548, UGC04548, 130.78140,  18.22260,  0.02100,   45.520, 5.38E+05, 5.14E+05,  0.02093,       1,       0
    218, UGC04550, UGC04550, 130.81630,  13.08580,  0.00690,   71.910, 7.75E+04, 7.96E+04,  0.00744,       1,       0
    219, NGC2639, NGC2639, 130.90860,  50.20550,  0.01090,   46.630, 8.03E+04, 4.59E+04,  0.01069,       1,       1
    220, UGC04546, UGC04546, 130.96390,  51.99120,  0.01740,   47.420, 3.48E+05, 2.38E+05,  0.01742,       1,       0
    221, UGC04551, UGC04551, 131.02470,  49.79390,  0.00580,   63.010, 2.85E+04, 3.71E+04,  0.00582,       1,       0
    222, UGC04559, UGC04559, 131.03169,  30.11910,  0.00700,   68.740, 6.88E+04, 7.00E+04,  0.00000,       0,       0
    223, IC2393, IC2393, 131.70500,  28.17130,  0.02100,   47.820, 6.30E+05, 6.09E+05,  0.00000,       0,       0
    224, UGC04587, UGC04587, 131.84470,  49.55880,  0.01010,   48.430, 7.29E+04, 4.14E+04,  0.00000,       0,       0
    225, IC2407, IC2407, 132.03810,  17.61150,  0.02060,   49.130, 6.46E+05, 5.70E+05,  0.02049,       1,       0
    226, UGC04659, UGC04659, 133.66890,  47.10490,  0.00610,   55.700, 2.07E+04, 2.52E+04,  0.00571,       1,       1
    227, NGC2692, NGC2692, 134.24170,  52.06590,  0.01260,   45.590, 1.18E+05, 7.07E+04,  0.00000,       0,       0
    228, NGC2693, NGC2693, 134.24699,  51.34740,  0.01640,   60.350, 6.06E+05, 4.12E+05,  0.00000,       0,       0
    229, NGC2710, NGC2710, 134.95171,  55.70620,  0.00830,   54.720, 5.91E+04, 4.44E+04,  0.00000,       0,       0
    230, NGC2719, NGC2719, 135.06551,  35.72760,  0.01060,   49.640, 9.01E+04, 5.13E+04,  0.00000,       0,       0
    231, UGC04722, UGC04722, 135.10049,  25.61470,  0.00570,   46.620, 5.98E+03, 7.87E+03,  0.00608,       1,       1
    232, NGC2730, NGC2730, 135.56590,  16.83830,  0.01280,   50.750, 1.71E+05, 1.04E+05,  0.01290,       1,       1
    233, NGC2735, NGC2735, 135.66110,  25.93460,  0.00780,   49.090, 3.35E+04, 2.81E+04,  0.00000,       0,       0
    234, NGC2738, NGC2738, 136.00191,  21.96760,  0.01030,   56.850, 1.27E+05, 7.24E+04,  0.00000,       0,       0
    235, 2MASXJ09043394+4517323, 2MASXJ09043394+4517323, 136.14101,  45.29220,  0.00610,   49.350, 1.24E+04, 1.49E+04,  0.00000,       0,       0
    236, UGC04773, UGC04773, 136.50121,  18.76460,  0.01150,   55.660, 1.63E+05, 9.40E+04,  0.00000,       0,       0
    237, IC2434, IC2434, 136.81689,  37.21540,  0.02390,   56.250, 1.51E+06, 1.83E+06,  0.00000,       0,       0
    238, NGC2764, NGC2764, 137.07280,  21.44330,  0.00910,   53.050, 6.92E+04, 4.64E+04,  0.00000,       0,       0
    239, UGC04800, UGC04800, 137.33099,  54.91190,  0.00820,   54.220, 5.48E+04, 4.20E+04,  0.00000,       0,       0
    240, NGC2742A, NGC2742A, 137.49200,  62.24740,  0.02610,   51.230, 1.49E+06, 1.54E+06,  0.00000,       0,       0
    241, NGC2769, NGC2769, 137.63400,  50.43330,  0.01610,   70.090, 9.12E+05, 6.20E+05,  0.00000,       0,       0
    242, NGC2776, NGC2776, 138.06050,  44.95490,  0.00880,   73.350, 1.70E+05, 1.19E+05,  0.00000,       0,       0
    243, NGC2778, NGC2778, 138.10150,  35.02750,  0.00680,   45.160, 1.34E+04, 1.41E+04,  0.00000,       0,       0
    244, UGC04845, UGC04845, 138.10780,   9.95550,  0.00710,   46.130, 1.76E+04, 1.75E+04,  0.00000,       0,       0
    245, UGC04851, UGC04851, 138.35780,  52.98130,  0.02530,   47.750, 1.09E+06, 1.20E+06,  0.00000,       0,       0
    246, NGC2783, NGC2783, 138.41451,  29.99300,  0.02260,   66.090, 1.38E+06, 1.64E+06,  0.00000,       0,       0
    247, UGC04869, UGC04869, 138.64600,  30.14160,  0.02250,   49.630, 8.70E+05, 1.03E+06,  0.00000,       0,       0
    248, NGC2794, NGC2794, 139.00740,  17.58980,  0.02950,   45.410, 1.48E+06, 1.62E+06,  0.00000,       0,       0
    249, NGC2795, NGC2795, 139.01630,  17.62840,  0.02860,   53.370, 1.36E+06, 1.49E+06,  0.00000,       0,       0
    250, NGC2796, NGC2796, 139.17439,  30.91540,  0.02320,   47.750, 8.45E+05, 1.01E+06,  0.00000,       0,       0
    251, IC2450, IC2450, 139.27200,  25.42920,  0.00550,   46.850, 4.28E+03, 6.01E+03,  0.00000,       0,       0
    252, UGC04906, UGC04906, 139.41631,  52.99290,  0.00770,   56.900, 5.19E+04, 4.47E+04,  0.00000,       0,       0
    253, NGC2800, NGC2800, 139.64670,  52.51440,  0.02530,   45.330, 9.34E+05, 1.02E+06,  0.00000,       0,       0
    254, UGC04926, UGC04926, 139.64841,  34.55320,  0.02120,   48.310, 6.66E+05, 6.68E+05,  0.00000,       0,       0
    255, CGCG151-054, CGCG151-054, 139.69820,  27.95630,  0.02710,   45.770, 1.18E+06, 1.26E+06,  0.00000,       0,       0
    256, UGC04938, UGC04938, 139.79480,  20.24300,  0.03000,   47.420, 1.46E+06, 1.60E+06,  0.00000,       0,       0
    257, NGC2826, NGC2826, 139.85069,  33.62400,  0.02120,   52.650, 8.65E+05, 8.64E+05,  0.00000,       0,       0
    258, NGC2832, NGC2832, 139.94530,  33.74970,  0.02280,   51.420, 1.00E+06, 1.19E+06,  0.00000,       0,       0
    259, IC2461, IC2461, 139.99181,  37.19130,  0.00750,   53.130, 3.93E+04, 3.54E+04,  0.00000,       0,       0
    260, NGC2805, NGC2805, 140.08490,  64.10300,  0.00610,   60.300, 2.88E+04, 3.50E+04,  0.00590,       1,       0
    261, UGC04958, UGC04958, 140.26100,  49.60230,  0.02750,   53.350, 1.41E+06, 1.53E+06,  0.00000,       0,       0
    262, UGC04970, UGC04970, 140.43980,  39.52480,  0.00810,   49.440, 4.04E+04, 3.12E+04,  0.00000,       0,       0
    263, UGC04982, UGC04982, 140.76289,  44.55490,  0.00890,   47.680, 4.67E+04, 3.24E+04,  0.00000,       0,       0
    264, NGC2854, NGC2854, 141.01180,  49.20380,  0.00890,   49.270, 5.24E+04, 3.61E+04,  0.00000,       0,       0
    265, NGC2860, NGC2860, 141.22169,  41.06020,  0.01410,   49.460, 2.10E+05, 1.37E+05,  0.00000,       0,       0
    266, NGC2872, NGC2872, 141.42720,  11.43210,  0.01070,   59.040, 1.58E+05, 9.04E+04,  0.00000,       0,       0
